Director,Genre,Year,Runtime,Budget,Gross,ROI,Stars,Awards,Num_Rating,Sequel,Book,Rating
Frank Darabont,Crime,1994,142,25.00000,58.50000,2.34000,2,19,1868108,0,1,9.2
Francis Ford Coppola,Crime,1972,175,6.00000,245.00000,40.83000,5,27,1275416,0,1,9.2
Francis Ford Coppola,Crime,1974,202,13.00000,102.60000,7.89000,4,17,879235,1,1,9
Christopher Nolan,Action,2008,152,185.00000,1001.90000,5.42000,7,153,1845338,1,1,9
Sidney Lumet,Crime,1957,96,0.35000,2.00000,5.71000,1,16,510958,0,1,8.9
Steven Spielberg,History,1993,185,22.00000,221.00000,10.05000,3,85,959759,0,1,8.9
Quentin Tarantino,Crime,1994,154,8.00000,213.90000,26.74000,6,61,1461782,0,0,8.9
Peter Jackson,Fantasy,2003,201,94.00000,1119.89950,11.91000,8,207,1336170,1,1,8.9
Sergio Leone,Western,1966,161,1.20000,6.10000,5.08000,2,1,553781,1,0,8.8
David Fincher,Drama,1999,139,63.00000,100.90000,1.60000,6,11,1497331,0,1,8.8
Peter Jackson,Fantasy,2001,178,93.00000,860.70000,9.25000,8,116,1356539,0,1,8.8
Robert Zemeckis,Drama,1994,142,55.00000,677.90000,12.33000,4,45,1408316,0,1,8.7
George Lucas,Action,1980,124,18.00000,247.90000,13.77000,5,22,932350,1,0,8.7
Christopher Nolan,Action,2010,148,160.00000,817.00000,5.11000,7,156,1635015,0,0,8.7
Peter Jackson,Fantasy,2002,179,94.00000,921.60000,9.80000,8,119,1210019,1,1,8.7
Milos Forman,Drama,1975,133,4.40000,112.00000,25.45000,3,35,746331,0,1,8.7
Martin Scorsese,Crime,1990,146,25.00000,46.80000,1.87000,3,38,805321,0,1,8.7
Wachowski Brothers,Sci-Fi,1999,136,63.00000,463.50000,7.36000,4,38,1334315,0,0,8.7
Akira Kurosawa,Adventure,1954,207,2.00000,0.26900,0.13000,0,5,251941,0,0,8.6
George Lucas,Action,1977,121,11.00000,797.90000,72.54000,6,56,1004768,0,0,8.6
Fernando Meirelles,Crime,2002,130,3.30000,18.00000,5.45000,0,70,582138,0,1,8.6
David Fincher,Crime,1995,127,33.00000,327.30000,9.92000,5,25,1139136,0,0,8.6
Johnathan Demme,Crime,1991,118,19.00000,272.70000,14.35000,2,54,994105,1,1,8.6
Frank Capra,Drama,1946,130,3.10000,7.20000,2.32000,2,6,308472,0,0,8.6
Roberto Bengini,Drama,1997,116,20.00000,228.90000,11.45000,0,69,478154,0,0,8.6
Bryan Singer,Crime,1995,106,6.00000,34.40000,5.73000,7,34,817230,0,0,8.6
Luc Besson,Crime,1994,110,16.00000,45.50000,2.84000,3,5,809616,0,0,8.6
